,localisation,prix_annonce,date_pub,m2,pieces,chambres,lien,text_annonce,floatm2,eta,Loyer estimé,Prix/m2
103,1,990000,2017-03-17 00:00:00,62,3.0,2.0,http://www.explorimmo.com/annonce-7434722.html,"Dans un immeuble ancien, aux 4ème et 5ème étages sans ascenseur, un duplex de 51,70 m² Loi Carrez (62 m² au sol) entièrement rénové,...",62.0,4.0,2490.0,15967.741935483871
104,1,545000,2017-03-10 00:00:00,"33,6",1.0,0.0,https://proprietes.lefigaro.fr/annonces/appartement-paris-ile+de+france-france/11736698/,"***LUXE, CALME ET VOLUPTE*** Sur l'avenue de l'Opéra, veuillez trouver dans une des adresses les plus prestigieuses du 1er...",33.6,3.0,1750.0,16220.238095238095
105,1,1360000,2017-02-11 00:00:00,128,5.0,4.0,http://www.explorimmo.com/annonce-11171995.html,Appartement - Rue de Rivoli à proximité immédiate des Tuileries et de la Place Vendôme. 5 pièces de 128m² au calme absolu sur 2 grandes...,128.0,3.0,3900.0,10625.0
107,1,666250,2016-12-21 00:00:00,57,2.0,1.0,http://www.explorimmo.com/annonce-11309393.html,"De beaux volumes pour cet appartement de 57m2 en plein coeur du 7ème arrondissement, à quelques pas de la Rue Saint Dominique. A saisir...",57.0,1.0,1850.0,11688.59649122807
109,1,990000,2016-07-24 00:00:00,61,2.0,2.0,http://www.explorimmo.com/annonce-6623312.html,"DUPLEX 2 CHAMBRES DERNIER ETAGE - PLACE DAUPHINE - PARIS 1 Situé sur la Place Dauphine, cet appartement duplex en parfait état se...",61.0,4.0,2350.0,16229.508196721312
111,1,990000,2015-08-25 00:00:00,61,3.0,2.0,http://www.explorimmo.com/annonce-26218058-1.html,"Place Dauphine, dans un bel immeuble historique, appartement de trois pièces principales, en duplex, comprenant au 4ème étage, un séjour...",61.0,4.0,1927.0,16229.508196721312
112,1,930000,2015-04-13 00:00:00,50,2.0,1.0,http://www.explorimmo.com/annonce-5047962.html,"Place Vendôme, dans sublime immeuble, en étage élevé, appartement de 50m2 totalement refait à neuf, proposant 1 beau séjour avec cuisine...",50.0,4.0,2000.0,18600.0
113,2,328000,2018-01-27,36,2.0,1.0,http://www.explorimmo.com/annonce-15036597.html,"En plein coeur de Paris. Métro Bourse - Quartier Vivienne. Au 7ème étage avec ascenseur jusqu'au 6ème, nous vous proposons un appartement...",36.0,7.0,1300.0,9111.111111111111
114,2,880000,2018-01-27,72,3.0,2.0,http://www.explorimmo.com/annonce-15028597.html,"PARIS 2 - RUE MONTMARTRE Au 5ème étage avec ascenseur d'une copropriété bien tenue, un très bel appartement 3 pièces d'environ 72M²...",72.0,5.0,3400.0,12222.222222222223
115,2,570000,2018-01-27,55,3.0,1.0,http://www.explorimmo.com/annonce-15028595.html,"PARIS 2 - STRASBOURG ST DENIS Au 3ème d'une copropriété correctement tenue, un appartement 3 pièces d'environ 55m² comprenant un bureau,...",55.0,3.0,2500.0,10363.636363636364
116,2,665000,2018-01-27,"59,63",2.0,1.0,http://www.explorimmo.com/annonce-15027193.html,"PARIS 2 EME - RUE SAINT-PHILIPPE - Ligne directe 01.44.88.68.68 - Au sein d'un immeuble ancien bien entretenu, un appartement de type...",59.63,4.0,2015.0,11152.104645312762
117,2,239000,2018-01-25,"27,5",1.0,0.0,http://www.explorimmo.com/annonce-14848667.html,"Sentier/Beauregard, Appartement au dernier étage, plein sud, vue sur les toits de Paris. Rue Beauregard, à deux pas des Grands Boulevards...",27.5,6.0,1320.0,8690.90909090909
118,2,583000,2018-01-25,"59,58",2.0,1.0,http://www.explorimmo.com/annonce-15014141.html,"PARIS 2 - RUE MONTMATRE Au coeur de la partie piétonne de la rue Montmartre, au 5ème étage avec ascenseur jusqu'au 4ème, un appartement...",59.58,5.0,2015.0,9785.162806310844
